epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7693750262260437,9.999999747378752e-05,0.5739474892616272,0.8199324011802673,0.7147321701049805,0.8912500143051147,0.3017686605453491,0.9094107151031494,0.8616666793823242
1,0.8708928823471069,9.999999747378752e-05,0.3423399329185486,0.8867245316505432,0.8575893044471741,0.9195833206176758,0.22415338456630707,0.9285106658935547,0.909166693687439
2,0.8924106955528259,9.999999747378752e-05,0.2770037353038788,0.9039941430091858,0.8810714483261108,0.9287499785423279,0.18775951862335205,0.9353339076042175,0.92208331823349
3,0.9135714173316956,9.999999747378752e-05,0.23625560104846954,0.92165607213974,0.9043750166893005,0.9375,0.16339494287967682,0.941821277141571,0.9308333396911621
4,0.920714259147644,9.999999747378752e-05,0.2119572013616562,0.9290316700935364,0.9140178561210632,0.940416693687439,0.15244601666927338,0.9457755088806152,0.9375
5,0.9276785850524902,9.999999747378752e-05,0.197445809841156,0.9343045949935913,0.921875,0.9458333253860474,0.14744101464748383,0.9467951655387878,0.9416666626930237
6,0.9373214244842529,9.999999747378752e-05,0.1740032136440277,0.9427332878112793,0.9318749904632568,0.9495833516120911,0.1322983205318451,0.9525609016418457,0.9454166889190674
7,0.9408928751945496,9.999999747378752e-05,0.16198225319385529,0.9450045228004456,0.9374107122421265,0.9479166865348816,0.13744446635246277,0.9509844779968262,0.9458333253860474
8,0.9452678561210632,9.999999747378752e-05,0.15471012890338898,0.9496305584907532,0.9409821629524231,0.9583333134651184,0.11948675662279129,0.9594142436981201,0.9554166793823242
9,0.9463393092155457,9.999999747378752e-05,0.14360129833221436,0.9509230256080627,0.9428571462631226,0.9558333158493042,0.11735046654939651,0.9585427045822144,0.9537500143051147
10,0.9488393068313599,9.999999747378752e-05,0.13502353429794312,0.9527190923690796,0.9463393092155457,0.9624999761581421,0.10620391368865967,0.9636135697364807,0.9599999785423279
11,0.9557142853736877,9.999999747378752e-05,0.12895876169204712,0.957888126373291,0.9524999856948853,0.9595833420753479,0.11647074669599533,0.9607023596763611,0.9574999809265137
12,0.9574999809265137,9.999999747378752e-05,0.1185406744480133,0.9605783224105835,0.955089271068573,0.9587500095367432,0.11675777286291122,0.9614740610122681,0.9566666483879089
13,0.9578571319580078,9.999999747378752e-05,0.11522547155618668,0.9608195424079895,0.9546428322792053,0.9541666507720947,0.11681079864501953,0.9557411074638367,0.9537500143051147
14,0.9629464149475098,2.9999999242136255e-05,0.10722003132104874,0.9649295806884766,0.9605357050895691,0.9591666460037231,0.10476341843605042,0.9607187509536743,0.9579166769981384
15,0.9638392925262451,2.9999999242136255e-05,0.09956873953342438,0.9658886790275574,0.9607142806053162,0.9604166746139526,0.10307986289262772,0.9611529111862183,0.9587500095367432
16,0.9646428823471069,2.9999999242136255e-05,0.09832490235567093,0.9660424590110779,0.9626785516738892,0.9587500095367432,0.10763353854417801,0.9598662257194519,0.9566666483879089
17,0.9652678370475769,2.9999999242136255e-05,0.09932218492031097,0.9671837091445923,0.9631249904632568,0.9612500071525574,0.10163331031799316,0.9636135697364807,0.9599999785423279
18,0.9626785516738892,2.9999999242136255e-05,0.1010727658867836,0.9644042253494263,0.960357129573822,0.9641666412353516,0.09748955070972443,0.9657477140426636,0.9633333086967468
19,0.9670535922050476,2.9999999242136255e-05,0.08928381651639938,0.9687303900718689,0.9653571248054504,0.965416669845581,0.09917421638965607,0.9661795496940613,0.9641666412353516
