epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.904285728931427,9.999999747378752e-06,0.2555251717567444,0.9118127226829529,0.8973214030265808,0.9262499809265137,0.20208744704723358,0.9292035102844238,0.918749988079071
1,0.9235714077949524,9.999999747378752e-06,0.21329499781131744,0.9293979406356812,0.917946457862854,0.9362499713897705,0.18154844641685486,0.9394703507423401,0.9312499761581421
2,0.9338392615318298,9.999999747378752e-06,0.18222393095493317,0.9387791752815247,0.9296428561210632,0.9445833563804626,0.16477498412132263,0.9462636709213257,0.9391666650772095
3,0.9410714507102966,9.999999747378752e-06,0.1604921668767929,0.9454201459884644,0.9372321367263794,0.9445833563804626,0.15816685557365417,0.9479866027832031,0.9416666626930237
4,0.9482142925262451,9.999999747378752e-06,0.13903369009494781,0.9515592455863953,0.9453571438789368,0.9504166841506958,0.15226627886295319,0.9519029855728149,0.9483333230018616
5,0.9525892734527588,9.999999747378752e-06,0.13026893138885498,0.955108642578125,0.949821412563324,0.9516666531562805,0.13518816232681274,0.9547359347343445,0.9491666555404663
6,0.953125,9.999999747378752e-06,0.1319848895072937,0.9561348557472229,0.9497321248054504,0.9524999856948853,0.13322578370571136,0.9552301168441772,0.9512500166893005
7,0.9600892663002014,9.999999747378752e-06,0.11008870601654053,0.9623115658760071,0.9574999809265137,0.95333331823349,0.13072887063026428,0.9552675485610962,0.9520833492279053
8,0.9613392949104309,9.999999747378752e-06,0.10521724075078964,0.9633249640464783,0.9591964483261108,0.9570833444595337,0.12174677848815918,0.9602344036102295,0.9558333158493042
9,0.9625892639160156,9.999999747378752e-06,0.1008860319852829,0.9641577005386353,0.9607142806053162,0.9595833420753479,0.11194685846567154,0.9615062475204468,0.9574999809265137
