epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9657142758369446,9.999999747378752e-06,0.09771101921796799,0.967718780040741,0.9635714292526245,0.9591666460037231,0.10486921668052673,0.961940586566925,0.9583333134651184
1,0.9644643068313599,9.999999747378752e-06,0.09483304619789124,0.9664904475212097,0.9631249904632568,0.9620833396911621,0.10021912306547165,0.9640618562698364,0.9612500071525574
2,0.9666964411735535,9.999999747378752e-06,0.08951548486948013,0.9683108329772949,0.9658035635948181,0.9633333086967468,0.09970381110906601,0.9644649028778076,0.9612500071525574
3,0.9676785469055176,9.999999747378752e-06,0.0881478413939476,0.9694417119026184,0.9658928513526917,0.9624999761581421,0.09847477823495865,0.9636591672897339,0.9612500071525574
4,0.9674999713897705,9.999999747378752e-06,0.0877506285905838,0.9694334864616394,0.965624988079071,0.9624999761581421,0.09723520278930664,0.9645093679428101,0.9624999761581421
5,0.9690178632736206,9.999999747378752e-06,0.08328016847372055,0.9706962704658508,0.9671428799629211,0.9645833373069763,0.09456336498260498,0.9661795496940613,0.9641666412353516
6,0.9711607098579407,9.999999747378752e-06,0.08177828043699265,0.9731014370918274,0.9690178632736206,0.9641666412353516,0.09589796513319016,0.9661512970924377,0.9633333086967468
7,0.9696428775787354,9.999999747378752e-06,0.08165334910154343,0.9713389873504639,0.9683035612106323,0.9629166722297668,0.09694291651248932,0.964897632598877,0.9620833396911621
8,0.9709821343421936,9.999999747378752e-06,0.08048571646213531,0.9731206893920898,0.9697321653366089,0.9641666412353516,0.09458143264055252,0.9653300046920776,0.9629166722297668
9,0.9733035564422607,2.9999998787388904e-06,0.0745643600821495,0.9753562211990356,0.9717857241630554,0.9637500047683716,0.09321119636297226,0.9644945859909058,0.9620833396911621
