epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9555357098579407,9.999999747378752e-06,0.12298744171857834,0.9592735767364502,0.9526785612106323,0.9495833516120911,0.1387389451265335,0.9554434418678284,0.9470833539962769
1,0.9622321724891663,9.999999747378752e-06,0.1062905341386795,0.9647893905639648,0.9590178728103638,0.9604166746139526,0.12134303897619247,0.9623115658760071,0.9574999809265137
2,0.9637500047683716,9.999999747378752e-06,0.09821971505880356,0.9672116637229919,0.9613392949104309,0.9591666460037231,0.12033950537443161,0.9626834392547607,0.9566666483879089
3,0.9686607122421265,9.999999747378752e-06,0.08576729148626328,0.9714003801345825,0.9674107432365417,0.9579166769981384,0.12211783230304718,0.9594142436981201,0.9554166793823242
4,0.972678542137146,9.999999747378752e-06,0.07523932307958603,0.9744554758071899,0.970714271068573,0.9599999785423279,0.11405140161514282,0.961940586566925,0.9583333134651184
5,0.9748214483261108,9.999999747378752e-06,0.06965292990207672,0.9760221838951111,0.974017858505249,0.965416669845581,0.10592900961637497,0.966569185256958,0.9637500047683716
6,0.9749107360839844,9.999999747378752e-06,0.07099039107561111,0.9759964346885681,0.9729464054107666,0.9637500047683716,0.1033911481499672,0.9653444886207581,0.9633333086967468
7,0.9801785945892334,9.999999747378752e-06,0.05693581700325012,0.9809566140174866,0.9796428680419922,0.9608333110809326,0.10847188532352448,0.9623745679855347,0.9591666460037231
8,0.9790178537368774,9.999999747378752e-06,0.05523921921849251,0.9803131818771362,0.9781249761581421,0.9629166722297668,0.10539237409830093,0.9656903743743896,0.9616666436195374
9,0.9788392782211304,9.999999747378752e-06,0.05499512329697609,0.9792579412460327,0.977946400642395,0.9620833396911621,0.1092279851436615,0.9644649028778076,0.9612500071525574
