epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7275893092155457,9.999999747378752e-05,0.6879898309707642,0.7656670212745667,0.6861607432365417,0.8675000071525574,0.3622441291809082,0.8941228985786438,0.8304166793823242
1,0.8263393044471741,9.999999747378752e-05,0.45550647377967834,0.845734179019928,0.8027678728103638,0.9016666412353516,0.2713240683078766,0.9146183729171753,0.8837500214576721
2,0.852946400642395,9.999999747378752e-05,0.3823985457420349,0.870649516582489,0.835357129573822,0.9150000214576721,0.24014607071876526,0.9198635816574097,0.8991666436195374
3,0.8669642806053162,9.999999747378752e-05,0.34955495595932007,0.8797497749328613,0.8537499904632568,0.9133333563804626,0.22367487847805023,0.9227504134178162,0.9058333039283752
4,0.8847321271896362,9.999999747378752e-05,0.3072716295719147,0.8967700600624084,0.8725892901420593,0.9129166603088379,0.2171158343553543,0.9220669269561768,0.9070833325386047
5,0.885535717010498,9.999999747378752e-05,0.30307671427726746,0.8958504796028137,0.8732143044471741,0.9170833230018616,0.20565426349639893,0.9240882396697998,0.9079166650772095
6,0.8946428298950195,9.999999747378752e-05,0.2752646505832672,0.9048358798027039,0.8837500214576721,0.9287499785423279,0.18966849148273468,0.9367303848266602,0.9191666841506958
7,0.9003571271896362,9.999999747378752e-05,0.26445358991622925,0.9088010191917419,0.890625,0.9262499809265137,0.18548865616321564,0.9327695369720459,0.9191666841506958
8,0.9092857241630554,9.999999747378752e-05,0.2421785593032837,0.9175398349761963,0.8991071581840515,0.9304166436195374,0.1768975853919983,0.9371042847633362,0.925000011920929
9,0.9060714244842529,9.999999747378752e-05,0.252003014087677,0.9137319326400757,0.8965178728103638,0.9270833134651184,0.178419291973114,0.9349112510681152,0.92166668176651
10,0.9108928442001343,9.999999747378752e-05,0.23268377780914307,0.9185433983802795,0.903124988079071,0.9350000023841858,0.16969874501228333,0.9398050308227539,0.9237499833106995
11,0.9166964292526245,9.999999747378752e-05,0.21872973442077637,0.9245625138282776,0.9104464054107666,0.9350000023841858,0.16967211663722992,0.9400843977928162,0.9283333420753479
12,0.9196428656578064,9.999999747378752e-05,0.2131650447845459,0.925835371017456,0.9128571152687073,0.9370833039283752,0.15450960397720337,0.94291752576828,0.9291666746139526
13,0.9204464554786682,9.999999747378752e-05,0.21034182608127594,0.9255540370941162,0.9135714173316956,0.9387500286102295,0.15497618913650513,0.9442802667617798,0.9320833086967468
14,0.9235714077949524,9.999999747378752e-05,0.20428508520126343,0.9290889501571655,0.9159821271896362,0.9395833611488342,0.1524267941713333,0.9444444179534912,0.9350000023841858
15,0.925178587436676,9.999999747378752e-05,0.20305660367012024,0.9314399361610413,0.9194642901420593,0.9395833611488342,0.1561039835214615,0.9451013803482056,0.9325000047683716
16,0.9288392663002014,9.999999747378752e-05,0.1933225840330124,0.935238778591156,0.9232142567634583,0.940833330154419,0.15195347368717194,0.9468129873275757,0.934583306312561
17,0.931071400642395,9.999999747378752e-05,0.1855924278497696,0.9366298913955688,0.9250892996788025,0.9412500262260437,0.14834369719028473,0.9456613063812256,0.9354166388511658
18,0.9292857050895691,9.999999747378752e-05,0.19337928295135498,0.9343151450157166,0.9233035445213318,0.9420833587646484,0.15619152784347534,0.9480135440826416,0.934583306312561
19,0.9313392639160156,9.999999747378752e-05,0.1816684901714325,0.9372574090957642,0.926964282989502,0.9454166889190674,0.14055852591991425,0.9491382837295532,0.940833330154419
