epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9474107027053833,9.999999747378752e-06,0.14104712009429932,0.9518789052963257,0.9431250095367432,0.9362499713897705,0.15778914093971252,0.9396226406097412,0.9337499737739563
1,0.9454464316368103,9.999999747378752e-06,0.14471061527729034,0.9485194683074951,0.9409821629524231,0.9383333325386047,0.15601687133312225,0.9429051280021667,0.9358333349227905
2,0.9491071701049805,9.999999747378752e-06,0.13581988215446472,0.9528650045394897,0.9458035826683044,0.9395833611488342,0.1517818123102188,0.9429529905319214,0.9366666674613953
3,0.9566071629524231,9.999999747378752e-06,0.12276891618967056,0.9597809314727783,0.9545535445213318,0.9445833563804626,0.1530490219593048,0.9463762044906616,0.9412500262260437
4,0.9557142853736877,9.999999747378752e-06,0.12154435366392136,0.9591488838195801,0.9538393020629883,0.9399999976158142,0.15390856564044952,0.9421383738517761,0.9362499713897705
5,0.9568750262260437,9.999999747378752e-06,0.11885897070169449,0.9597737193107605,0.9543750286102295,0.940833330154419,0.15019583702087402,0.9427018165588379,0.9391666650772095
6,0.9574999809265137,9.999999747378752e-06,0.11183205991983414,0.961704432964325,0.9551785588264465,0.9433333277702332,0.14227809011936188,0.9451882839202881,0.9412500262260437
7,0.9606249928474426,9.999999747378752e-06,0.10600224137306213,0.9628666043281555,0.9584821462631226,0.9445833563804626,0.14176703989505768,0.9460251331329346,0.9420833587646484
8,0.9609821438789368,9.999999747378752e-06,0.10435103625059128,0.9626872539520264,0.9583035707473755,0.9479166865348816,0.13730120658874512,0.949435830116272,0.9466666579246521
9,0.9610714316368103,9.999999747378752e-06,0.10575275868177414,0.9634813666343689,0.9587500095367432,0.9483333230018616,0.13720284402370453,0.9497697949409485,0.9454166889190674
