epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9175000190734863,9.999999747378752e-06,0.2202318012714386,0.9229656457901001,0.9114285707473755,0.9424999952316284,0.14916710555553436,0.9485666155815125,0.9375
1,0.9275000095367432,9.999999747378752e-06,0.19365325570106506,0.9337370991706848,0.9222321510314941,0.9491666555404663,0.13849034905433655,0.9540472030639648,0.9429166913032532
2,0.9294642806053162,9.999999747378752e-06,0.18423999845981598,0.9342841506004333,0.9241071343421936,0.949999988079071,0.13529027998447418,0.9545837044715881,0.9458333253860474
3,0.9399107098579407,9.999999747378752e-06,0.16356538236141205,0.9442543387413025,0.9361607432365417,0.9508333206176758,0.1303972601890564,0.9562473893165588,0.9470833539962769
4,0.9375892877578735,9.999999747378752e-06,0.16493812203407288,0.9413777589797974,0.9333928823471069,0.9474999904632568,0.12901775538921356,0.952540934085846,0.9449999928474426
5,0.9431250095367432,9.999999747378752e-06,0.15411147475242615,0.9461137056350708,0.9390178322792053,0.9487500190734863,0.12467905879020691,0.9521611332893372,0.9454166889190674
6,0.9437500238418579,9.999999747378752e-06,0.15461115539073944,0.9464783668518066,0.939464271068573,0.9512500166893005,0.12164226174354553,0.9547359347343445,0.9491666555404663
7,0.9448214173316956,9.999999747378752e-06,0.14949914813041687,0.9497433304786682,0.9415178298950195,0.9479166865348816,0.12160394340753555,0.9510050415992737,0.9462500214576721
8,0.947857141494751,9.999999747378752e-06,0.14087024331092834,0.9516608119010925,0.943928599357605,0.9520833492279053,0.11801227927207947,0.9563941359519958,0.9504166841506958
9,0.9516964554786682,9.999999747378752e-06,0.13307100534439087,0.9549622535705566,0.9484821557998657,0.9545833468437195,0.1154388040304184,0.9573221802711487,0.95333331823349
